from_user,text,time,likes,hashtag
mustafa.adoo,4978🌹👍,2019-12-22T11:05:31.000Z,,
elbapbastos,👍,2019-12-22T11:10:44.000Z,1 like,
san_deep_reddie_,🙌,2019-12-22T11:13:56.000Z,,
yunus_mira06,6005 level ama bana hediye gelmedi 🤔,2019-12-22T12:11:46.000Z,,
san_deep_reddie_,🙌,2019-12-21T16:50:22.000Z,,
senaysunaoglu,"Candy crush oyununda ablam 4265 seviyesine kadar gelmişti, ama faceye bağlanıpta ordan oynayınca oyunun ilk seviyesine geri döndü, tekrar ileri seviyesine ulaşabilmek için ne yapmamız gerekiyor",2019-12-21T17:59:28.000Z,,
trishtrinh,😍😍😍,2019-12-21T20:41:32.000Z,,
dulcevg7,😋😋😎,2019-12-21T23:40:45.000Z,,
kim____jisooyaa,Follow me please 💕😘 thankyou,2019-12-22T03:14:24.000Z,,
anabdoor14,"I think that the new update made the game very easy, which made it lose its enjoyment. Please return the spirit of challenge to the game.",2019-12-22T04:10:22.000Z,,
taufiquemohd29,Plzzz make new background for every episode in CCS* coz old background is not sweet 🍬😔,2019-12-22T05:43:25.000Z,,
itz_r_one,Lovely❤️,2019-12-20T17:51:22.000Z,,
ligiashlochmann,👏👏👏👏👏👏,2019-12-20T18:41:28.000Z,,
bebebeauty_7,"OH My Gwad.. 😍🌈😘🎄 🎅 hoho.. Jingle bells, jingle bells 🔔,.. Jingles All The Way 😍😘",2019-12-20T19:05:40.000Z,,
barranquillerissima,😮🎄,2019-12-20T19:18:18.000Z,,
anderson.costa.90260,Game good !! 👏👏👏👏,2019-12-20T19:57:29.000Z,,
elbapbastos,👍,2019-12-20T20:09:44.000Z,,
juan.alberto.ipnq,@candycrushsaga Muy Lindo Detalle,2019-12-20T20:16:05.000Z,,
juan.alberto.ipnq,@candycrushsaga Un gran detalle!!!!!,2019-12-20T20:16:59.000Z,,
defermin869,Fun Game been playing for years.,2019-12-21T00:53:12.000Z,,
lisoosooya,😮😘😍,2019-12-21T04:49:09.000Z,,
trishtrinh,HOW CUTE❣️,2019-12-21T20:41:51.000Z,,
deane.blanchard,"Rebirth, regeneration",2019-12-22T03:15:54.000Z,,
