from_user,text,time,likes,hashtag
tsengstory,Merry Christmas candy crush ♥ I hit jackpot today for the first time in my entire life!! 💋 the best Christmas gift ever,2019-12-24T10:35:07.000Z,,
milinrivera,😍,2019-12-24T11:43:13.000Z,,
batelnamdar,My candycrush just suddnly went to level 6005,2019-12-24T11:58:31.000Z,,
neema_mnape,"Hellow , my app can't access internet anymore pls help",2019-12-24T16:21:31.000Z,,
blocktionary_game,Merry Christmas 🌲 check out our new game thoooo 💯💯,2019-12-24T18:34:57.000Z,,
ahmed_higuain9,🇮🇶🇮🇶,2019-12-25T14:56:54.000Z,,
asaa_212,Please go back to giving players four days to compete the Rami and Didi missions. The shortened time doesn’t allow us to complete the missions unless we play the game nonstop.,2019-12-26T05:05:25.000Z,,
lochelo,Yo me apunto para viajar a Bali tiene que ser de cue,2019-12-26T09:15:07.000Z,,
lochelo,Yo me apunto para viajar a Bali tiene que ser de cuento pasar la Noche Vieja en Bali con mi Candy Crack. 💋💋💋,2019-12-26T09:17:29.000Z,,
hoodradar,Hey check your Dm 🙏🏼,2019-12-27T00:32:56.000Z,,
grozafadrol,Why its so hard in level 2486 .. i'll try 2 week and always lose .. damn it,2019-12-27T16:30:32.000Z,1 like,
qlby6405,ممكن متابعه,2019-12-27T19:11:05.000Z,,
san_deep_reddie_,🙌,2019-12-21T16:50:22.000Z,1 like,
senaysunaoglu,"Candy crush oyununda ablam 4265 seviyesine kadar gelmişti, ama faceye bağlanıpta ordan oynayınca oyunun ilk seviyesine geri döndü, tekrar ileri seviyesine ulaşabilmek için ne yapmamız gerekiyor",2019-12-21T17:59:28.000Z,,
trishtrinh,😍😍😍,2019-12-21T20:41:32.000Z,1 like,
dulcevg7,😋😋😎,2019-12-21T23:40:45.000Z,1 like,
kim____jisooyaa,Follow me please 💕😘 thankyou,2019-12-22T03:14:24.000Z,,
anabdoor14,"I think that the new update made the game very easy, which made it lose its enjoyment. Please return the spirit of challenge to the game.",2019-12-22T04:10:22.000Z,,
taufiquemohd29,Plzzz make new background for every episode in CCS* coz old background is not sweet 🍬😔,2019-12-22T05:43:25.000Z,,
asaa_212,Please go back to giving players four days to compete the Rami and Didi missions. The shortened time doesn’t allow us to complete the missions unless we play the game nonstop.,2019-12-26T05:05:40.000Z,,
ligiashlochmann,👏👏👏👏👏👏,2019-12-20T18:41:28.000Z,1 like,
bebebeauty_7,"OH My Gwad.. 😍🌈😘🎄 🎅 hoho.. Jingle bells, jingle bells 🔔,.. Jingles All The Way 😍😘",2019-12-20T19:05:40.000Z,1 like,
barranquillerissima,😮🎄,2019-12-20T19:18:18.000Z,1 like,
anderson.costa.90260,Game good !! 👏👏👏👏,2019-12-20T19:57:29.000Z,1 like,
elbapbastos,👍,2019-12-20T20:09:44.000Z,1 like,
juan.alberto.ipnq,@candycrushsaga Muy Lindo Detalle,2019-12-20T20:16:05.000Z,,
juan.alberto.ipnq,@candycrushsaga Un gran detalle!!!!!,2019-12-20T20:16:59.000Z,,
defermin869,Fun Game been playing for years.,2019-12-21T00:53:12.000Z,1 like,
lisoosooya,😮😘😍,2019-12-21T04:49:09.000Z,1 like,
trishtrinh,HOW CUTE❣️,2019-12-21T20:41:51.000Z,1 like,
deane.blanchard,"Rebirth, regeneration",2019-12-22T03:15:54.000Z,,
asaa_212,"I am finding more and more that the game is unfair. I feel that the developers are becoming increasingly greedy. For example, they are becoming more stingy with the boosters. We also have significantly less time to complete the Rami and Didi missions, which at least for me has limited the amount of boosters I receive.",2019-12-26T05:07:32.000Z,,
ghazal_gzh,@nastaran.kh80,2019-12-23T20:06:24.000Z,,
ghazal_gzh,@miss___bita__,2019-12-23T20:06:36.000Z,,
scottnovakonwattpad,Who won?,2019-12-24T03:52:40.000Z,,
emma_tanghal,@mikachu.1 @iluv_cooky_._,2019-12-24T06:16:13.000Z,1 like,
laramel_lima,@laramel_lima ✊🏻✨💖,2019-12-24T12:32:38.000Z,,
laramel_lima,@laramel_lima ✊🏻✨💖,2019-12-24T12:32:41.000Z,,
mikachu.1,@emma_tanghal @iluv_cooky_._ @chloescamagas @i_love_rainbows5,2019-12-24T17:08:21.000Z,,
tinyajuuh,@vcsabiajisoo,2019-12-24T22:46:41.000Z,,
scottnovakonwattpad,Have they been picked yet,2019-12-26T00:06:21.000Z,,
rabia_karalaeri,@psikopatayli_,2019-12-26T04:52:17.000Z,,
bubbataylor01,@alex_llama0,2019-12-26T12:23:10.000Z,,
